original_field_name,choice_value,export_field_name
patient_id,,patient_id
study_id,,study_id
patient_mrn,,patient_mrn
patient_dmp_id,,patient_dmp_id
patient_cmo_id,,patient_cmo_id
patient_darwin_id,,patient_darwin_id
patient_isabl_id,,patient_isabl_id
patient_first_name,,patient_first_name
patient_middle_name,,patient_middle_name
patient_last_name,,patient_last_name
patient_date_of_birth,,patient_date_of_birth
patient_age,,patient_age
patient_gender,,patient_gender
patient_race,,patient_race
patient_residence_address_1,,patient_residence_address_1
patient_residence_address_2,,patient_residence_address_2
patient_residence_address_city,,patient_residence_address_city
patient_residence_address_state,,patient_residence_address_state
patient_residence_address_zip_code,,patient_residence_address_zip_code
patient_residence_address_country,,patient_residence_address_country
primary_medical_oncologist_name,,primary_medical_oncologist_name
primary_surgeon_name,,primary_surgeon_name
patient_cancer_type,,patient_cancer_type
patient_cancer_type_code,,patient_cancer_type_code
patient_diagnosis_date,,patient_diagnosis_date
patient_overall_survival_status,,patient_overall_survival_status
patient_overall_survival_date,,patient_overall_survival_date
patient_progression_free_survival_status,,patient_progression_free_survival_status
patient_progression_free_survival_date,,patient_progression_free_survival_date
patient_num_recurrence_events,,patient_num_recurrence_events
patient_inclusion_date,,patient_inclusion_date
patient_exclusion_date,,patient_exclusion_date
patient_inclusion_exclusion,,patient_inclusion_exclusion
patient_exclusion_comments,,patient_exclusion_comments
patients_complete,,patients_complete
patient_consent_irb,,patient_consent_irb
patient_consent_date,,patient_consent_date
patient_consent_location,,patient_consent_location
patient_consent_extra_blood_collection,,patient_consent_extra_blood_collection
consents_complete,,consents_complete
consult_date,,consult_date
consult_location,,consult_location
consult_chief_complaint,,consult_chief_complaint
consult_previous_outside_procedures,,consult_previous_outside_procedures
consult_prior_outside_treatment,,consult_prior_outside_treatment
consult_other_treatment,,consult_other_treatment
consult_personal_cancer_history,,consult_personal_cancer_history
consult_family_cancer_history,,consult_family_cancer_history
consult_notes,,consult_notes
consult_age_menarche,,consult_age_menarche
consult_gravidity,,consult_gravidity
consult_parity,,consult_parity
consult_menopause_age,,consult_menopause_age
consult_hormone_replacement_therapy,,consult_hormone_replacement_therapy
consultations_complete,,consultations_complete
diagnosis_sequence_number_auto,,diagnosis_sequence_number_auto
diagnosis_sequence_number_msk,,diagnosis_sequence_number_msk
diagnosis_case_reference_number,,diagnosis_case_reference_number
diagnosis_accrual_year,,diagnosis_accrual_year
diagnosis_first_msk_date,,diagnosis_first_msk_date
diagnosis_case_status,,diagnosis_case_status
diagnosis_case_effective_date,,diagnosis_case_effective_date
diagnosis_marital_status,,diagnosis_marital_status
diagnosis_smoking_history,,diagnosis_smoking_history
diagnosis_date,,diagnosis_date
diagnosis_class_of_case,,diagnosis_class_of_case
diagnosis_icd9,,diagnosis_icd9
diagnosis_site,,diagnosis_site
diagnosis_site_code,,diagnosis_site_code
diagnosis_laterality_code,,diagnosis_laterality_code
diagnosis_histology,,diagnosis_histology
diagnosis_histology_code,,diagnosis_histology_code
diagnosis_histology_code_grade,,diagnosis_histology_code_grade
diagnosis_confirmation_code,,diagnosis_confirmation_code
diagnosis_lymph_nodes_examined,,diagnosis_lymph_nodes_examined
diagnosis_lymph_nodes_positive,,diagnosis_lymph_nodes_positive
diagnosis_lymph_nodes_examined_code,,diagnosis_lymph_nodes_examined_code
diagnosis_lymph_nodes_positive_code,,diagnosis_lymph_nodes_positive_code
diagnosis_primary_tumor_size,,diagnosis_primary_tumor_size
diagnosis_residual_tumor_code,,diagnosis_residual_tumor_code
diagnosis_general_stage,,diagnosis_general_stage
diagnosis_tnm_edition,,diagnosis_tnm_edition
diagnosis_clinical_tnm_t,,diagnosis_clinical_tnm_t
diagnosis_clinical_tnm_n,,diagnosis_clinical_tnm_n
diagnosis_clinical_tnm_m,,diagnosis_clinical_tnm_m
diagnosis_clinical_stage_group,,diagnosis_clinical_stage_group
diagnosis_clinical_stage_descriptor,,diagnosis_clinical_stage_descriptor
diagnosis_clinical_staged_by,,diagnosis_clinical_staged_by
diagnosis_pathology_tnm_t,,diagnosis_pathology_tnm_t
diagnosis_pathology_tnm_n,,diagnosis_pathology_tnm_n
diagnosis_pathology_tnm_m,,diagnosis_pathology_tnm_m
diagnosis_pathology_stage_group,,diagnosis_pathology_stage_group
diagnosis_pathology_stage_descriptor,,diagnosis_pathology_stage_descriptor
diagnosis_pathology_staged_by,,diagnosis_pathology_staged_by
diagnosis_pathology_report_availability,,diagnosis_pathology_report_availability
diagnosis_cancer_coding_schema,,diagnosis_cancer_coding_schema
diagnosis_cancer_status_at_accession,,diagnosis_cancer_status_at_accession
diagnosis_first_recurrence_date,,diagnosis_first_recurrence_date
diagnosis_first_recurrence_type,,diagnosis_first_recurrence_type
diagnosis_admit_date,,diagnosis_admit_date
diagnosis_discharge_date,,diagnosis_discharge_date
diagnosis_surgery_discharge_date,,diagnosis_surgery_discharge_date
diagnosis_readmission_within_30d,,diagnosis_readmission_within_30d
diagnosis_first_therapy_date,,diagnosis_first_therapy_date
diagnosis_non_cancer_surgery_all,,diagnosis_non_cancer_surgery_all
diagnosis_non_cancer_surgery_msk,,diagnosis_non_cancer_surgery_msk
diagnosis_non_cancer_surgery_date,,diagnosis_non_cancer_surgery_date
diagnosis_cancer_surgery_all,,diagnosis_cancer_surgery_all
diagnosis_cancer_surgery_msk,,diagnosis_cancer_surgery_msk
diagnosis_cancer_surgery_other_all,,diagnosis_cancer_surgery_other_all
diagnosis_cancer_surgery_other_msk,,diagnosis_cancer_surgery_other_msk
diagnosis_cancer_surgery_other_description,,diagnosis_cancer_surgery_other_description
diagnosis_cancer_surgery_lymph_node_all,,diagnosis_cancer_surgery_lymph_node_all
diagnosis_cancer_surgery_lymph_node_msk,,diagnosis_cancer_surgery_lymph_node_msk
diagnosis_cancer_surgery_lymph_node_code,,diagnosis_cancer_surgery_lymph_node_code
diagnosis_reconstructive_surgery,,diagnosis_reconstructive_surgery
